Facility,FiscalYear,ProgramId,ObjectCodeId,CurrentModifiedAmount,PreEncumberedAmount,EncumberedAmount,ExpendedAmount,ProjectedAmount,PriorYearActualAmount,TotalObligated,,,,,,
ALC,2025,4,698,147586.00,0.00,0.00,0.00,17550.37,0.00,,,,,,,
ALC,2025,4,48,108642.00,0.00,0.00,53377.48,36190.84,0.00,,,,,,,
ALC,2025,5,666,0.00,0.00,0.00,168491.03,,,,,,,,,
ALC,2025,4,9,41000.00,0.00,0.00,24326.12,15866.76,0.00,,,,,,,
ALC,2025,4,46,11537.00,0.00,0.00,7128.41,4892.62,0.00,,,,,,,
ALC,2025,5,37,4426966.00,0.00,0.00,2957517.03,2152277.01,0.00,,,,,,,
ALC,2025,4,120,120000.00,0.00,0.00,26415.55,2007.18,0.00,,,,,,,
ALC,2025,5,671,184000.00,0.00,0.00,0.00,184000.00,0.00,,,,,,,
ALC,2025,5,94,0.00,0.00,0.00,3270.96,2336.40,0.00,,,,,,,
ALC,2025,4,94,0.00,0.00,0.00,358.00,255.71,0.00,,,,,,,
ALC,2025,54,2,0.00,0.00,0.00,18798.65,12274.95,0.00,,,,,,,
ALC,2025,5,247,0.00,0.00,0.00,28613.08,28613.08,0.00,,,,,,,
ALC,2025,5,231,150000.00,0.00,8022.54,174068.83,127559.73,0.00,,,,,,,
ALC,2025,5,88,25000.00,0.00,34466.98,32114.63,-18537.24,0.00,,,,,,,
ALC,2025,5,120,88500.00,0.00,12489.90,39041.03,18788.99,0.00,,,,,,,
ALC,2025,5,293,1107971.00,0.00,655864.46,431528.14,-43999.60,0.00,,,,,,,
ALC,2025,4,255,0.00,0.00,0.00,118.74,8388.85,0.00,,,,,,,
ALC,2025,4,735,0.00,0.00,0.00,6245.23,0.00,0.00,,,,,,,
ALC,2025,4,174,10000.00,0.00,0.00,10179.96,128.56,0.00,,,,,,,
ALC,2025,54,764,10000.00,0.00,0.00,1536.30,1797.55,0.00,,,,,,,
ALC,2025,5,698,41800.00,0.00,0.00,0.00,41439.57,0.00,,,,,,,
ALC,2025,4,172,0.00,0.00,81.15,1383.80,208.24,0.00,,,,,,,
ALC,2025,5,230,0.00,0.00,0.00,13151.09,0.00,0.00,,,,,,,
ALC,2025,5,46,244142.00,0.00,0.00,125028.22,85755.27,0.00,,,,,,,
ALC,2025,4,173,5266.00,0.00,3153.02,3092.18,0.00,0.00,,,,,,,
ALC,2025,54,46,1447.00,0.00,0.00,1065.94,721.83,0.00,,,,,,,
ALC,2025,5,85,0.00,0.00,0.00,1903.00,1359.29,0.00,,,,,,,
ALC,2025,5,2,471111.00,0.00,0.00,1416695.50,977284.57,0.00,,,,,,,
ALC,2025,4,231,0.00,0.00,0.00,182.99,51607.87,0.00,,,,,,,
ALC,2025,5,174,0.00,0.00,0.00,45.28,0.00,0.00,,,,,,,
ALC,2025,5,663,0.00,0.00,0.00,114388.79,,,,,,,,,
ALC,2025,5,232,150000.00,0.00,5362.02,99660.22,39366.95,0.00,,,,,,,
ALC,2025,4,745,5249.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
ALC,2025,5,626,0.00,0.00,0.00,5754.00,,,,,,,,,
ALC,2025,5,237,809849.00,0.00,38389.26,713699.63,672898.91,0.00,,,,,,,
ALC,2025,4,756,23802.00,0.00,0.00,22135.00,,,,,,,,,
ALC,2025,5,624,0.00,0.00,0.00,3900.00,0.00,0.00,,,,,,,
ALC,2025,5,5,372347.00,0.00,0.00,143485.79,95468.58,0.00,,,,,,,
ALC,2025,5,39,21310.00,0.00,0.00,34580.15,,,,,,,,,
ALC,2025,5,135,130000.00,0.00,0.00,17552.97,0.00,0.00,,,,,,,
ALC,2025,5,628,0.00,0.00,0.00,2000.00,,,,,,,,,
ALC,2025,4,135,0.00,0.00,0.00,29846.79,10936.93,0.00,,,,,,,
ALC,2025,4,45,2869.00,0.00,0.00,2764.63,1901.72,0.00,,,,,,,
ALC,2025,4,158,25000.00,0.00,19647.24,17838.31,7088.83,0.00,,,,,,,
ALC,2025,5,240,120000.00,0.00,62735.20,63950.20,8639.52,0.00,,,,,,,
ALC,2025,54,763,9024.00,0.00,4641.80,8198.70,,,,,,,,,
ALC,2025,5,130,10000.00,0.00,5450.00,7630.00,0.00,0.00,,,,,,,
ALC,2025,4,225,6708.00,0.00,58.98,9730.31,30682.57,0.00,,,,,,,
ALC,2025,5,742,189000.00,0.00,0.00,0.00,-107561.20,0.00,,,,,,,
ALC,2025,5,295,0.00,0.00,0.00,3523.35,3640.32,0.00,,,,,,,
ALC,2025,5,158,15000.00,0.00,14359.52,33566.26,0.00,0.00,,,,,,,
ALC,2025,5,45,40699.00,0.00,0.00,27926.05,19236.57,0.00,,,,,,,
ALC,2025,5,633,862501.00,0.00,68100.00,39417.65,427489.20,0.00,,,,,,,
ALC,2025,5,3,0.00,0.00,0.00,128410.76,81961.59,0.00,,,,,,,
ALC,2025,4,746,0.00,0.00,0.00,5249.00,,,,,,,,,
ALC,2025,5,622,0.00,0.00,25015.00,7945.33,0.00,0.00,,,,,,,
ALC,2025,4,232,0.00,0.00,0.00,82.39,35906.83,0.00,,,,,,,
ALC,2025,54,37,78255.00,0.00,0.00,26731.38,18332.49,0.00,,,,,,,
ALC,2025,5,131,150000.00,0.00,67799.79,123738.23,12116.56,0.00,,,,,,,
ALC,2025,4,241,0.00,0.00,0.00,781.24,16055.52,0.00,,,,,,,
ALC,2025,5,80,6670.00,0.00,0.00,6400.39,6807.96,0.00,,,,,,,
ALC,2025,5,241,200000.00,0.00,45264.75,267228.43,189672.53,0.00,,,,,,,
ALC,2025,4,58,0.00,0.00,0.00,1114.11,0.00,0.00,,,,,,,
ALC,2025,5,1,14009232.00,0.00,0.00,7304230.10,5198155.15,0.00,,,,,,,
ALC,2025,5,259,0.00,0.00,0.00,1495.00,,,,,,,,,
ALC,2025,54,766,1365365.00,0.00,36796.88,578319.40,401281.54,0.00,,,,,,,
ALC,2025,54,48,7684.00,0.00,0.00,10202.84,6956.99,0.00,,,,,,,
ALC,2025,5,255,0.00,0.00,0.00,29781.85,0.00,0.00,,,,,,,
ALC,2025,4,63,0.00,0.00,0.00,1899.71,0.00,0.00,,,,,,,
ALC,2025,4,85,0.00,0.00,0.00,395.00,0.00,0.00,,,,,,,
