VendorId,VendorName,Inactive
1,1919 VETERANS INC,0
2,21ST JUDICIAL DISTRICT,0
3,22ND JUDICIAL DISTRICT,0
4,3PM LLC,0
5,4 WHEEL PARTS,0
6,4MD MEDICAL,0
7,511 TACTICAL,0
8,564.48,0
9,7 CLAN HOTEL,0
10,7 CLANS HOTEL,0
11,A T & T MOBILITY,0
12,AAA RENT ALL,0
13,AAA-RENTAL,0
14,AADS OFFICE SOLUTIONS,0
15,A-B COMPUTERS,0
16,AB STEEL,0
17,ABBOTT POINT OF CARE,0
18,ABBOTT RAPID DX,0
19,ABC APPLIED BUSINESS CONCEPTS,0
20,ABEL UNLIMITED,0
21,ABELL & SON,0
22,ACA,0
23,ACADEMY,0
24,ACADEMY SPORTS,0
25,ACADEMY SPORTS AND OUTDOORS,0
26,ACADIAN AMBULANCE,0
27,ACADIAN AMBULANCE SERVICES,0
28,ACCESSOLOGY TOO,0
29,ACME,0
30,ACME REFRIGERATION,0
31,ACOUSTICAL SPECIALTIES,0
32,ACTION FLAGS,0
33,ACTION SPECIALTIES,0
34,ACTION TREE CARE,0
35,ADANI SYSTEMS,0
36,"ADANI, LINEV SYSTEMS",0
37,ADKINS PEST CONTROL,0
38,ADMINISTRATORS OF TULANE,0
39,ADVANCED DOORS,0
40,ADVANCED INDUSTRIAL DEVICES,0
41,ADVANCED OFFICE SYSTEMS,0
42,ADVANTAGE FIRE SPECIALIST,0
43,ADVANTAGE MEDICAL,0
44,ADVOCATE,0
45,AED SUPERSTORE,0
46,AED.US,0
47,AERIA CONSULTING MANAGEMENT,0
48,AERIS,0
49,AERIS CONSULTING,0
50,AERIS CONSULTING & MANAGEMENT,0
51,AERIS CONSULTING & MANAGEMENT LLC,0
52,AERKO INTERNATIONAL,0
53,AHA,0
54,AIRBNB,0
55,AIRGAS,0
56,"AIRGAS, LLC",0
57,AJIT PRABHAKARAN,0
58,ALEX GREMILLION,0
59,ALFORD SAFE & LOCK,0
60,ALFRED RICARD,0
61,ALIMED,0
62,ALIMED.COM,0
63,ALISON CORMIER,0
64,ALISON SALINAS,0
65,ALL PADLOCKS,0
66,ALL POINTS,0
67,ALL POINTS FOOD,0
68,ALL STAR AUTOMOTIVE GROUP,0
69,ALL STAR TALENT,0
70,ALL TRUCK PARTS,0
71,ALLAN'S LAWN AND LANDSCAPE,0
72,ALLDATA,0
73,ALLDATA SOFTWARE,0
74,ALLEMOND & JELKS,0
75,ALLEN PARISH CORONER'S OFFICE,0
76,ALLIED FIRE ALARM SYSTEM,0
77,ALLIED SYSTEMS,0
78,ALLPOINTS,0
79,AMALGATED SERVICES,0
80,AMAZON,0
81,"AMAZON,",0
82,AMAZON.COM,0
83,AMBER DELONE,0
84,AMCON,0
85,AMD GLOBAL TELEMEDICINE,0
86,AMERICAN AIRLINES,0
87,AMERICAN CORRECTIONAL ASSOC.,0
88,AMERICAN CORRECTIONAL ASSOCIATION,0
89,AMERICAN DOOR,0
90,AMERICAN LOCKS,0
91,AMERICAN OFFICE MACHINE,0
92,AMERICAN REHABILITION MINISTRIES,0
93,AMES RUBBING COATING,0
94,AMESWALKER,0
95,AMETHYST CONSTRUCTION,0
96,AMITE TIRE,0
97,AMWASTE OF LOUISIANA LLC,0
98,ANDREA BUTTROSS,0
99,ANDREW'S TOWING,0
100,ANDY COLLIER,0
101,ANGELA PEARCE,0
102,ANGELA STEWART,0
103,ANGELA WHITTAKER,0
104,"ANTHON INVESTMENT, LLC",0
105,ANYTIME AUTO GLASS,0
106,APASCO,0
107,APOCALYPSE SPORTS,0
108,APOPKA BEAUTY & BARBER SUPPLY,0
109,APPLIED BUISNESS CONCEPT,0
110,APPLIED BUSINESS,0
111,APPLIED BUSINESS CONCEPTS,0
112,ARBICO ORGANICS,0
113,ARCCO POWER,0
114,ARCCO POWER SYSTEM,0
115,ARCHIE'S PAINT & BODY SHOP,0
116,ARCHITECTURAL BUILDERS,0
117,AREIS CONSULTING MANAGEMENT,0
118,ARMSTRONG VETERINARY,0
119,ARTICULATE,0
120,ASCENSION EQUIPMENT,0
121,ASCENSION GOLF CARTS,0
122,ASD HEALTHCARE,0
123,ASHLEY MYLES,0
124,ASSOCIATED OFFICE SYSTEMS,0
125,AT&T,0
126,AT&T CORP,0
127,AT&T FIRST NET,0
128,AT&T ZOOM,0
129,AT&T ZOOM ACCOUNTS,0
130,AT&T/FIRSTNET,0
131,ATD AMERICAN COMPANY,0
132,ATLO SOFTWARE,0
133,ATMOS,0
134,ATOS,0
135,ATT,0
136,"ATTENTI US, INC",0
137,AUDIBLE HEARING HEALTHCARE,0
138,AUDUBON MARKET,0
139,AUDUBON VETERINARY HOSPITAL,0
140,AUGUST CAPS,0
141,AUGUSTINE'S PSYCHIATRIC SERVICES,0
142,AUTO & PARTS & SUPPLIES,0
143,AUTO CHLOR,0
144,AUTO CHLOR - KITCHEN,0
145,AUTO CHLOR - LAUNDRY,0
146,AUTO CHLOR - RENTALS,0
147,AUTO CHLOR SERVICES,0
148,"AUTO PAINT AND SUPPLIES CO, INC.",0
